Autoroute entrée	Péage entrée	Classe 1	Classe 5
ST GERMAIN LES VERGNES	MONTREUIL AUX LIONS	93.0	53.1
ST GERMAIN LES VERGNES	MONTREUIL (REIMS)	91.0	51.8
ST GERMAIN LES VERGNES	CHATEAU-THIERRY	88.7	50.7
ST GERMAIN LES VERGNES	DORMANS	86.4	49.4
ST GERMAIN LES VERGNES	REIMS SUD	83.8	47.7
ST GERMAIN LES VERGNES	CHALONS / LA VEUVE (REIMS)	80.7	46.1
ST GERMAIN LES VERGNES	CHALONS / LA VEUVE (METZ)	80.7	46.5
ST GERMAIN LES VERGNES	ST ETIENNE AU TEMPLE	80.7	46.5
ST GERMAIN LES VERGNES	ST MENEHOULD	82.7	48.0
ST GERMAIN LES VERGNES	VOIE SACREE	86.2	49.8
ST GERMAIN LES VERGNES	VERDUN	88.5	51.2
ST GERMAIN LES VERGNES	FRESNES EN WOEVRE	88.5	51.2
ST GERMAIN LES VERGNES	JARNY	90.0	52.2
ST GERMAIN LES VERGNES	METZ (péage de Beaumont)	93.2	53.5
ST GERMAIN LES VERGNES	CLERMONT EN ARGONNE	84.4	48.8
TULLE NORD	MONTREUIL AUX LIONS	90.9	51.7
TULLE NORD	MONTREUIL (REIMS)	88.9	50.4
TULLE NORD	CHATEAU-THIERRY	86.6	49.3
TULLE NORD	DORMANS	84.3	48.0
TULLE NORD	REIMS SUD	81.7	46.3
TULLE NORD	CHALONS / LA VEUVE (REIMS)	78.6	44.7
TULLE NORD	CHALONS / LA VEUVE (METZ)	78.6	45.1
TULLE NORD	ST ETIENNE AU TEMPLE	78.6	45.1
TULLE NORD	ST MENEHOULD	80.6	46.6
TULLE NORD	VOIE SACREE	84.1	48.4
TULLE NORD	VERDUN	86.4	49.8
TULLE NORD	FRESNES EN WOEVRE	86.4	49.8
TULLE NORD	JARNY	87.9	50.8
TULLE NORD	METZ (péage de Beaumont)	91.1	52.1
TULLE NORD	CLERMONT EN ARGONNE	82.3	47.4
TULLE EST	MONTREUIL AUX LIONS	90.3	51.3
TULLE EST	MONTREUIL (REIMS)	88.3	50.0
TULLE EST	CHATEAU-THIERRY	86.0	48.9
TULLE EST	DORMANS	83.7	47.6
TULLE EST	REIMS SUD	81.1	45.9
TULLE EST	CHALONS / LA VEUVE (REIMS)	78.0	44.3
TULLE EST	CHALONS / LA VEUVE (METZ)	78.0	44.7
TULLE EST	ST ETIENNE AU TEMPLE	78.0	44.7
TULLE EST	ST MENEHOULD	80.0	46.2
TULLE EST	VOIE SACREE	83.5	48.0
TULLE EST	VERDUN	85.8	49.4
TULLE EST	FRESNES EN WOEVRE	85.8	49.4
TULLE EST	JARNY	87.3	50.4
TULLE EST	METZ (péage de Beaumont)	90.5	51.7
TULLE EST	CLERMONT EN ARGONNE	81.7	47.0
EGLETONS	MONTREUIL AUX LIONS	88.2	50.1
EGLETONS	MONTREUIL (REIMS)	86.2	48.8
EGLETONS	CHATEAU-THIERRY	83.9	47.7
EGLETONS	DORMANS	81.6	46.4
EGLETONS	REIMS SUD	79.0	44.7
EGLETONS	CHALONS / LA VEUVE (REIMS)	75.9	43.1
EGLETONS	CHALONS / LA VEUVE (METZ)	75.9	43.5
EGLETONS	ST ETIENNE AU TEMPLE	75.9	43.5
EGLETONS	ST MENEHOULD	77.9	45.0
EGLETONS	VOIE SACREE	81.4	46.8
EGLETONS	VERDUN	83.7	48.2
EGLETONS	FRESNES EN WOEVRE	83.7	48.2
EGLETONS	JARNY	85.2	49.2
EGLETONS	METZ (péage de Beaumont)	88.4	50.5
EGLETONS	CLERMONT EN ARGONNE	79.6	45.8
USSEL OUEST	MONTREUIL AUX LIONS	85.7	48.4
USSEL OUEST	MONTREUIL (REIMS)	83.7	47.1
USSEL OUEST	CHATEAU-THIERRY	81.4	46.0
USSEL OUEST	DORMANS	79.1	44.7
USSEL OUEST	REIMS SUD	76.5	43.0
USSEL OUEST	CHALONS / LA VEUVE (REIMS)	73.4	41.4
USSEL OUEST	CHALONS / LA VEUVE (METZ)	73.4	41.8
USSEL OUEST	ST ETIENNE AU TEMPLE	73.4	41.8
USSEL OUEST	ST MENEHOULD	75.4	43.3
USSEL OUEST	VOIE SACREE	78.9	45.1
USSEL OUEST	VERDUN	81.2	46.5
USSEL OUEST	FRESNES EN WOEVRE	81.2	46.5
USSEL OUEST	JARNY	82.7	47.5
USSEL OUEST	METZ (péage de Beaumont)	85.9	48.8
USSEL OUEST	CLERMONT EN ARGONNE	77.1	44.1
USSEL EST	MONTREUIL AUX LIONS	83.6	47.3
USSEL EST	MONTREUIL (REIMS)	81.6	46.0
USSEL EST	CHATEAU-THIERRY	79.3	44.9
USSEL EST	DORMANS	77.0	43.6
USSEL EST	REIMS SUD	74.4	41.9
USSEL EST	CHALONS / LA VEUVE (REIMS)	71.3	40.3
USSEL EST	CHALONS / LA VEUVE (METZ)	71.3	40.7
USSEL EST	ST ETIENNE AU TEMPLE	71.3	40.7
USSEL EST	ST MENEHOULD	73.3	42.2
USSEL EST	VOIE SACREE	76.8	44.0
USSEL EST	VERDUN	79.1	45.4
USSEL EST	FRESNES EN WOEVRE	79.1	45.4
USSEL EST	JARNY	80.6	46.4
USSEL EST	METZ (péage de Beaumont)	83.8	47.7
USSEL EST	CLERMONT EN ARGONNE	75.0	43.0
ST JULIEN SANCY	MONTREUIL AUX LIONS	81.0	46.0
ST JULIEN SANCY	MONTREUIL (REIMS)	79.0	44.7
ST JULIEN SANCY	CHATEAU-THIERRY	76.7	43.6
ST JULIEN SANCY	DORMANS	74.4	42.3
ST JULIEN SANCY	REIMS SUD	71.8	40.6
ST JULIEN SANCY	CHALONS / LA VEUVE (REIMS)	68.7	39.0
ST JULIEN SANCY	CHALONS / LA VEUVE (METZ)	68.7	39.4
ST JULIEN SANCY	ST ETIENNE AU TEMPLE	68.7	39.4
ST JULIEN SANCY	ST MENEHOULD	70.7	40.9
ST JULIEN SANCY	VOIE SACREE	74.2	42.7
ST JULIEN SANCY	VERDUN	76.5	44.1
ST JULIEN SANCY	FRESNES EN WOEVRE	76.5	44.1
ST JULIEN SANCY	JARNY	78.0	45.1
ST JULIEN SANCY	METZ (péage de Beaumont)	81.2	46.4
ST JULIEN SANCY	CLERMONT EN ARGONNE	72.4	41.7
VULCANIA BROMONT	MONTREUIL AUX LIONS	78.9	44.5
VULCANIA BROMONT	MONTREUIL (REIMS)	76.9	43.2
VULCANIA BROMONT	CHATEAU-THIERRY	74.6	42.1
VULCANIA BROMONT	DORMANS	72.3	40.8
VULCANIA BROMONT	REIMS SUD	105.3	69.7
VULCANIA BROMONT	CHALONS / LA VEUVE (REIMS)	66.6	37.5
VULCANIA BROMONT	CHALONS / LA VEUVE (METZ)	66.6	37.9
VULCANIA BROMONT	ST ETIENNE AU TEMPLE	66.6	37.9
VULCANIA BROMONT	ST MENEHOULD	68.6	39.4
VULCANIA BROMONT	VOIE SACREE	72.1	41.2
VULCANIA BROMONT	VERDUN	74.4	42.6
VULCANIA BROMONT	FRESNES EN WOEVRE	74.4	42.6
VULCANIA BROMONT	JARNY	75.9	43.6
VULCANIA BROMONT	METZ (péage de Beaumont)	79.1	44.9
VULCANIA BROMONT	CLERMONT EN ARGONNE	70.3	40.2
MANZAT	MONTREUIL AUX LIONS	76.8	43.3
MANZAT	MONTREUIL (REIMS)	74.8	42.0
MANZAT	CHATEAU-THIERRY	72.5	40.9
MANZAT	DORMANS	70.2	39.6
MANZAT	REIMS SUD	67.6	37.9
MANZAT	CHALONS / LA VEUVE (REIMS)	64.5	36.3
MANZAT	CHALONS / LA VEUVE (METZ)	64.5	36.7
MANZAT	ST ETIENNE AU TEMPLE	64.5	36.7
MANZAT	ST MENEHOULD	66.5	38.2
MANZAT	VOIE SACREE	70.0	40.0
MANZAT	VERDUN	72.3	41.4
MANZAT	FRESNES EN WOEVRE	72.3	41.4
MANZAT	JARNY	73.8	42.4
MANZAT	METZ (péage de Beaumont)	77.0	43.7
MANZAT	CLERMONT EN ARGONNE	68.2	39.0
ALLAINES	MONTREUIL AUX LIONS	50.9	27.9
ALLAINES	MONTREUIL (REIMS)	48.9	26.6
ALLAINES	CHATEAU-THIERRY	46.6	25.5
ALLAINES	REIMS NORD (ORMES)	42.9	23.0
ALLAINES	REIMS OUEST (THILLOIS)	43.5	23.5
ALLAINES	REIMS SUD	41.7	22.5
ALLAINES	CHARMONT-S/BARBUISE	31.8	16.8
ALLAINES	VALLEE DE L'AUBE	32.9	17.5
ALLAINES	SOMMESOUS	34.8	18.7
ALLAINES	MONT CHOISY	36.7	20.0
ALLAINES	ST GIBRIEN	37.5	20.4
ALLAINES	REIMS EST (TAISSY)	41.9	22.6
ALLAINES	CHALONS / LA VEUVE (REIMS)	38.6	20.9
ALLAINES	CHALONS / LA VEUVE (METZ)	38.6	21.3
ALLAINES	ST ETIENNE AU TEMPLE	38.6	21.3
ALLAINES	ST MENEHOULD	40.6	22.8
ALLAINES	VOIE SACREE	44.1	24.6
ALLAINES	VERDUN	46.4	26.0
ALLAINES	FRESNES EN WOEVRE	46.4	26.0
ALLAINES	JARNY	47.9	27.0
ALLAINES	METZ (péage de Beaumont)	51.1	28.3
ALLAINES	CLERMONT EN ARGONNE	42.3	23.6
ALLAINES	VATRY	35.3	18.8
ARTENAY	REIMS NORD (ORMES)	41.9	22.2
ARTENAY	CHARMONT-S/BARBUISE	30.8	16.0
ARTENAY	VALLEE DE L'AUBE	31.9	16.7
ARTENAY	SOMMESOUS	33.8	17.9
ARTENAY	MONT CHOISY	35.7	19.2
ARTENAY	ST GIBRIEN	36.5	19.6
ARTENAY	VATRY	34.3	18.0
MONTREUIL AUX LIONS	ST GERMAIN LES VERGNES	93.0	53.1
MONTREUIL AUX LIONS	TULLE NORD	90.9	51.7
MONTREUIL AUX LIONS	TULLE EST	90.3	51.3
MONTREUIL AUX LIONS	EGLETONS	88.2	50.1
MONTREUIL AUX LIONS	USSEL OUEST	85.7	48.4
MONTREUIL AUX LIONS	USSEL EST	83.6	47.3
MONTREUIL AUX LIONS	ST JULIEN SANCY	81.0	46.0
MONTREUIL AUX LIONS	VULCANIA BROMONT	78.9	44.5
MONTREUIL AUX LIONS	MANZAT	76.8	43.3
MONTREUIL AUX LIONS	CHATEAU-THIERRY	4.2	2.5
MONTREUIL AUX LIONS	DORMANS	6.4	4.0
MONTREUIL AUX LIONS	REIMS OUEST (THILLOIS)	8.9	5.6
MONTREUIL AUX LIONS	REIMS SUD	8.5	5.6
MONTREUIL AUX LIONS	CHALONS / LA VEUVE (REIMS)	12.1	7.5
MONTREUIL AUX LIONS	CHALONS / LA VEUVE (METZ)	12.4	7.7
MONTREUIL AUX LIONS	ST ETIENNE AU TEMPLE	12.4	7.7
MONTREUIL AUX LIONS	ST MENEHOULD	14.5	9.4
MONTREUIL AUX LIONS	VOIE SACREE	17.7	10.9
MONTREUIL AUX LIONS	VERDUN	19.7	11.8
MONTREUIL AUX LIONS	FRESNES EN WOEVRE	19.7	11.8
MONTREUIL AUX LIONS	JARNY	21.2	13.0
MONTREUIL AUX LIONS	METZ (péage de Beaumont)	23.7	14.9
MONTREUIL AUX LIONS	CLERMONT EN ARGONNE	16.1	10.3
MONTREUIL (REIMS)	ST GERMAIN LES VERGNES	91.0	51.8
MONTREUIL (REIMS)	TULLE NORD	88.9	50.4
MONTREUIL (REIMS)	TULLE EST	88.3	50.0
MONTREUIL (REIMS)	EGLETONS	86.2	48.8
MONTREUIL (REIMS)	USSEL OUEST	83.7	47.1
MONTREUIL (REIMS)	USSEL EST	81.6	46.0
MONTREUIL (REIMS)	ST JULIEN SANCY	79.0	44.7
MONTREUIL (REIMS)	VULCANIA BROMONT	76.9	43.2
MONTREUIL (REIMS)	MANZAT	74.8	42.0
MONTREUIL (REIMS)	CHATEAU-THIERRY	1.9	1.0
MONTREUIL (REIMS)	DORMANS	4.2	2.6
MONTREUIL (REIMS)	REIMS OUEST (THILLOIS)	6.5	4.0
MONTREUIL (REIMS)	REIMS SUD	6.3	4.0
MONTREUIL (REIMS)	CHALONS / LA VEUVE (REIMS)	9.7	6.0
MONTREUIL (REIMS)	CHALONS / LA VEUVE (METZ)	10.2	6.0
MONTREUIL (REIMS)	ST ETIENNE AU TEMPLE	10.2	6.0
MONTREUIL (REIMS)	ST MENEHOULD	12.5	7.8
MONTREUIL (REIMS)	VOIE SACREE	15.4	9.3
MONTREUIL (REIMS)	VERDUN	17.8	10.4
MONTREUIL (REIMS)	FRESNES EN WOEVRE	17.8	10.4
MONTREUIL (REIMS)	JARNY	18.9	11.5
MONTREUIL (REIMS)	METZ (péage de Beaumont)	22.0	13.5
MONTREUIL (REIMS)	CLERMONT EN ARGONNE	13.9	8.2
CHATEAU-THIERRY	ST GERMAIN LES VERGNES	88.7	50.7
CHATEAU-THIERRY	TULLE NORD	86.6	49.3
CHATEAU-THIERRY	TULLE EST	86.0	48.9
CHATEAU-THIERRY	EGLETONS	83.9	47.7
CHATEAU-THIERRY	USSEL OUEST	81.4	46.0
CHATEAU-THIERRY	USSEL EST	79.3	44.9
CHATEAU-THIERRY	ST JULIEN SANCY	76.7	43.6
CHATEAU-THIERRY	VULCANIA BROMONT	74.6	42.1
CHATEAU-THIERRY	MANZAT	72.5	40.9
CHATEAU-THIERRY	MONTREUIL AUX LIONS	4.2	2.5
CHATEAU-THIERRY	MONTREUIL (REIMS)	1.9	1.0
CHATEAU-THIERRY	DORMANS	2.1	1.4
CHATEAU-THIERRY	REIMS OUEST (THILLOIS)	4.5	2.8
CHATEAU-THIERRY	REIMS SUD	4.2	2.8
CHATEAU-THIERRY	CHALONS / LA VEUVE (REIMS)	7.7	4.8
CHATEAU-THIERRY	CHALONS / LA VEUVE (METZ)	8.2	5.1
CHATEAU-THIERRY	ST ETIENNE AU TEMPLE	8.2	5.1
CHATEAU-THIERRY	ST MENEHOULD	10.3	6.7
CHATEAU-THIERRY	VOIE SACREE	13.3	8.1
CHATEAU-THIERRY	VERDUN	15.5	9.1
CHATEAU-THIERRY	FRESNES EN WOEVRE	15.5	9.1
CHATEAU-THIERRY	JARNY	17.1	10.6
CHATEAU-THIERRY	METZ (péage de Beaumont)	20.0	12.3
CHATEAU-THIERRY	CLERMONT EN ARGONNE	12.1	7.4
DORMANS	ST GERMAIN LES VERGNES	86.4	49.4
DORMANS	TULLE NORD	84.3	48.0
DORMANS	TULLE EST	83.7	47.6
DORMANS	EGLETONS	81.6	46.4
DORMANS	USSEL OUEST	79.1	44.7
DORMANS	USSEL EST	77.0	43.6
DORMANS	ST JULIEN SANCY	74.4	42.3
DORMANS	VULCANIA BROMONT	72.3	40.8
DORMANS	MANZAT	70.2	39.6
DORMANS	MONTREUIL AUX LIONS	6.4	4.0
DORMANS	MONTREUIL (REIMS)	4.2	2.6
DORMANS	CHATEAU-THIERRY	2.1	1.4
DORMANS	REIMS NORD (ORMES)	2.1	1.3
DORMANS	REIMS OUEST (THILLOIS)	2.1	1.4
DORMANS	REIMS SUD	2.1	1.4
DORMANS	CHARMONT-S/BARBUISE	12.5	7.4
DORMANS	VALLEE DE L'AUBE	9.9	6.2
DORMANS	SOMMESOUS	7.9	5.1
DORMANS	MONT CHOISY	6.6	4.0
DORMANS	ST GIBRIEN	5.9	3.7
DORMANS	REIMS EST (TAISSY)	3.7	2.3
DORMANS	CHALONS / LA VEUVE (REIMS)	5.4	3.4
DORMANS	CHALONS / LA VEUVE (METZ)	5.9	3.7
DORMANS	ST ETIENNE AU TEMPLE	5.9	3.7
DORMANS	ST MENEHOULD	8.1	5.2
DORMANS	VOIE SACREE	10.8	6.7
DORMANS	VERDUN	12.9	7.5
DORMANS	FRESNES EN WOEVRE	12.9	7.5
DORMANS	JARNY	14.5	8.5
DORMANS	METZ (péage de Beaumont)	17.6	10.9
DORMANS	CLERMONT EN ARGONNE	9.6	5.9
DORMANS	VATRY	7.3	4.8
REIMS SUD	ST GERMAIN LES VERGNES	83.8	47.7
REIMS SUD	TULLE NORD	81.7	46.3
REIMS SUD	TULLE EST	81.1	45.9
REIMS SUD	EGLETONS	79.0	44.7
REIMS SUD	USSEL OUEST	76.5	43.0
REIMS SUD	USSEL EST	74.4	41.9
REIMS SUD	ST JULIEN SANCY	71.8	40.6
REIMS SUD	VULCANIA BROMONT	105.3	69.7
REIMS SUD	MANZAT	67.6	37.9
REIMS SUD	MONTREUIL AUX LIONS	8.5	5.6
REIMS SUD	MONTREUIL (REIMS)	6.3	4.0
REIMS SUD	CHATEAU-THIERRY	4.2	2.8
REIMS SUD	DORMANS	2.1	1.4
REIMS SUD	REIMS OUEST (THILLOIS)	0.9	0.6
REIMS SUD	CHALONS / LA VEUVE (REIMS)	2.5	1.6
REIMS SUD	CHALONS / LA VEUVE (METZ)	3.0	1.9
REIMS SUD	ST ETIENNE AU TEMPLE	3.0	1.9
REIMS SUD	ST MENEHOULD	5.1	3.6
REIMS SUD	VOIE SACREE	8.1	4.8
REIMS SUD	VERDUN	10.2	6.0
REIMS SUD	FRESNES EN WOEVRE	10.2	6.0
REIMS SUD	JARNY	11.7	7.2
REIMS SUD	METZ (péage de Beaumont)	14.7	9.1
REIMS SUD	CLERMONT EN ARGONNE	6.6	4.2
MONTREUIL (PARIS)	MONTREUIL (PARIS)	1.9	1.1
CHALONS / LA VEUVE (REIMS)	ST GERMAIN LES VERGNES	80.7	46.1
CHALONS / LA VEUVE (REIMS)	TULLE NORD	78.6	44.7
CHALONS / LA VEUVE (REIMS)	TULLE EST	78.0	44.3
CHALONS / LA VEUVE (REIMS)	EGLETONS	75.9	43.1
CHALONS / LA VEUVE (REIMS)	USSEL OUEST	73.4	41.4
CHALONS / LA VEUVE (REIMS)	USSEL EST	71.3	40.3
CHALONS / LA VEUVE (REIMS)	ST JULIEN SANCY	68.7	39.0
CHALONS / LA VEUVE (REIMS)	VULCANIA BROMONT	66.6	37.5
CHALONS / LA VEUVE (REIMS)	MANZAT	64.5	36.3
CHALONS / LA VEUVE (REIMS)	MONTREUIL AUX LIONS	12.1	7.5
CHALONS / LA VEUVE (REIMS)	MONTREUIL (REIMS)	9.7	6.0
CHALONS / LA VEUVE (REIMS)	CHATEAU-THIERRY	7.7	4.8
CHALONS / LA VEUVE (REIMS)	DORMANS	5.4	3.4
CHALONS / LA VEUVE (REIMS)	REIMS OUEST (THILLOIS)	4.2	2.6
CHALONS / LA VEUVE (REIMS)	REIMS SUD	2.5	1.6
CHALONS / LA VEUVE (REIMS)	CHALONS / LA VEUVE (METZ)	0.0	0.0
CHALONS / LA VEUVE (REIMS)	ST ETIENNE AU TEMPLE	0.8	0.5
CHALONS / LA VEUVE (REIMS)	ST MENEHOULD	2.4	1.7
CHALONS / LA VEUVE (REIMS)	VOIE SACREE	4.9	2.8
CHALONS / LA VEUVE (REIMS)	VERDUN	6.7	4.1
CHALONS / LA VEUVE (REIMS)	FRESNES EN WOEVRE	6.7	4.1
CHALONS / LA VEUVE (REIMS)	JARNY	8.6	5.3
CHALONS / LA VEUVE (REIMS)	METZ (péage de Beaumont)	11.4	7.0
CHALONS / LA VEUVE (REIMS)	CLERMONT EN ARGONNE	3.8	2.3
CHALONS / LA VEUVE (METZ)	ST GERMAIN LES VERGNES	80.7	46.5
CHALONS / LA VEUVE (METZ)	TULLE NORD	78.6	45.1
CHALONS / LA VEUVE (METZ)	TULLE EST	78.0	44.7
CHALONS / LA VEUVE (METZ)	EGLETONS	75.9	43.5
CHALONS / LA VEUVE (METZ)	USSEL OUEST	73.4	41.8
CHALONS / LA VEUVE (METZ)	USSEL EST	71.3	40.7
CHALONS / LA VEUVE (METZ)	ST JULIEN SANCY	68.7	39.4
CHALONS / LA VEUVE (METZ)	VULCANIA BROMONT	66.6	37.9
CHALONS / LA VEUVE (METZ)	MANZAT	64.5	36.7
CHALONS / LA VEUVE (METZ)	MONTREUIL AUX LIONS	12.4	7.7
CHALONS / LA VEUVE (METZ)	MONTREUIL (REIMS)	10.2	6.0
CHALONS / LA VEUVE (METZ)	CHATEAU-THIERRY	8.2	5.1
CHALONS / LA VEUVE (METZ)	DORMANS	5.9	3.7
CHALONS / LA VEUVE (METZ)	REIMS OUEST (THILLOIS)	4.7	2.8
CHALONS / LA VEUVE (METZ)	REIMS SUD	3.0	1.9
CHALONS / LA VEUVE (METZ)	CHALONS / LA VEUVE (REIMS)	0.0	0.0
CHALONS / LA VEUVE (METZ)	ST ETIENNE AU TEMPLE	0.8	0.5
CHALONS / LA VEUVE (METZ)	ST MENEHOULD	2.4	1.7
CHALONS / LA VEUVE (METZ)	VOIE SACREE	4.9	2.8
CHALONS / LA VEUVE (METZ)	VERDUN	6.7	4.1
CHALONS / LA VEUVE (METZ)	FRESNES EN WOEVRE	6.7	4.1
CHALONS / LA VEUVE (METZ)	JARNY	8.6	5.3
CHALONS / LA VEUVE (METZ)	METZ (péage de Beaumont)	11.4	7.0
CHALONS / LA VEUVE (METZ)	CLERMONT EN ARGONNE	3.8	2.3
ST ETIENNE AU TEMPLE	ST GERMAIN LES VERGNES	80.7	46.5
ST ETIENNE AU TEMPLE	TULLE NORD	78.6	45.1
ST ETIENNE AU TEMPLE	TULLE EST	78.0	44.7
ST ETIENNE AU TEMPLE	EGLETONS	75.9	43.5
ST ETIENNE AU TEMPLE	USSEL OUEST	73.4	41.8
ST ETIENNE AU TEMPLE	USSEL EST	71.3	40.7
ST ETIENNE AU TEMPLE	ST JULIEN SANCY	68.7	39.4
ST ETIENNE AU TEMPLE	VULCANIA BROMONT	66.6	37.9
ST ETIENNE AU TEMPLE	MANZAT	64.5	36.7
ST ETIENNE AU TEMPLE	MONTREUIL AUX LIONS	12.4	7.7
ST ETIENNE AU TEMPLE	MONTREUIL (REIMS)	10.2	6.0
ST ETIENNE AU TEMPLE	CHATEAU-THIERRY	8.2	5.1
ST ETIENNE AU TEMPLE	DORMANS	5.9	3.7
ST ETIENNE AU TEMPLE	REIMS OUEST (THILLOIS)	4.7	2.8
ST ETIENNE AU TEMPLE	REIMS SUD	3.0	1.9
ST ETIENNE AU TEMPLE	CHALONS / LA VEUVE (REIMS)	0.8	0.5
ST ETIENNE AU TEMPLE	CHALONS / LA VEUVE (METZ)	0.8	0.5
ST ETIENNE AU TEMPLE	ST MENEHOULD	2.0	1.3
ST ETIENNE AU TEMPLE	VOIE SACREE	4.4	2.6
ST ETIENNE AU TEMPLE	VERDUN	6.2	4.0
ST ETIENNE AU TEMPLE	FRESNES EN WOEVRE	6.2	4.0
ST ETIENNE AU TEMPLE	JARNY	7.9	5.0
ST ETIENNE AU TEMPLE	METZ (péage de Beaumont)	11.1	7.0
ST ETIENNE AU TEMPLE	CLERMONT EN ARGONNE	3.3	2.1
ST MENEHOULD	ST GERMAIN LES VERGNES	82.7	48.0
ST MENEHOULD	TULLE NORD	80.6	46.6
