X	BELLEGARDE	ELOISE ANNECY	VIRY
BELLEGARDE	0	1,4	5,8
ELOISE ANNECY	1,4	0	4,4
VIRY	5,8	4,4	0
BARRIERE DE MONTREUIL AUX LIONS	62,8	64,2	68,6
MONTREUIL AUX LIONS	60,6	62	66,4
CHATEAU THIERRY	58,1	59,5	63,9
DORMANS	55,3	56,7	61,1
REIMS OUEST THILLOIS	54,6	56	60,4
REIMS NORD (ORMES)	54,2	55,6	60
REIMS SUD	52,7	54,1	58,5
REIMS TAISSY	52,9	54,3	58,7
CHALONS LA VEUVE	49,2	50,6	55
SAINT ETIENNE AU TEMPLE	48,7	50,1	54,5
SAINTE MENEHOULD	50,6	52	56,4
CLERMONT EN ARGONNE	52,6	54	58,4
VOIE SACREE	55,1	56,5	60,9
VERDUN	57,8	59,2	63,6
FRESNES EN WOEVRE	57,8	59,2	63,6
JARNY	59,2	60,6	65
METZ BEAUMONT	63,1	64,5	68,9
SAINT GIBRIEN	47,8	49,2	53,6
MONT CHOISY	46,8	48,2	52,6
VATRY	45,3	46,7	51,1
SOMMESOUS	44,5	45,9	50,3
VALLEE DE L AUBE	42,4	43,8	48,2
CHARMONT	41,2	42,6	47
THENNELIERES	39,9	41,3	45,7